2026-06-27 12:37:21,202 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------QFNL000100----------.json
2026-06-27 12:37:21,202 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------QFNL000400----------.json
2026-06-27 12:37:21,202 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------QFNL000200----------.json
2026-06-27 12:37:21,202 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------QFNL000400----------.json
2026-06-27 12:37:21,203 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------QFNL000300----------.json
2026-06-27 12:37:21,203 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------QFNL000100----------.json
2026-06-27 12:37:21,203 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------SFNL000200----------.json
2026-06-27 12:37:21,203 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000700----------.json
2026-06-27 12:37:21,203 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------SFNL000100----------.json
2026-06-27 12:37:21,204 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000800----------.json
2026-06-27 12:37:21,204 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000800----------.json
2026-06-27 12:37:21,204 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000400----------.json
2026-06-27 12:37:21,204 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000200----------.json
2026-06-27 12:37:21,204 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000700----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000100----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000500----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000300----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000400----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000100----------.json
2026-06-27 12:37:21,205 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000600----------.json
2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------8FNL000300----------.json
2026-06-27 12:37:21,206 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------8FNL000600----------.json
